"price","types","address","latitude","longitude","date","beds","baths","sq.","bath","reception","receptions","bed","TotalBeds","TotalBaths","TotalReceptions","FlatType"
8e+05,"2 bed flat for sale ","St. George Wharf, London SW8",51.485704,-0.125117,2021-09-02,"2","2",NA,"0","1","0","0",2,2,1,"flat "
310000,"1 bed flat for sale ","Homerton High Street, Hackney E9",51.54781,-0.045571,2021-09-02,"0","0",NA,"1","1","0","1",1,1,1,"flat "
1150000,"7 bed semi-detached house for sale ","Westbrook Road, Heston, Hounslow TW5",51.483508,-0.377074,2021-09-02,"7","3",NA,"0","1","0","0",7,3,1,"semi-detached house "
1500000,"3 bed end terrace house for sale ","Rotherfield Street, Islington, London N1",51.540295,-0.092688,2021-09-02,"3","2",NA,"0","0","2","0",3,2,2,"end terrace house "
399950,"1 bed flat for sale ","Cumberland Mills Square, London E14",51.487789,-0.005776,2021-09-02,"0","0",NA,"1","1","0","1",1,1,1,"flat "
725000,"2 bed maisonette for sale ","Brandlehow Road, London SW15",51.461379,-0.207417,2021-09-02,"2","2",NA,"0","1","0","0",2,2,1,"maisonette "
475000,"3 bed terraced house for sale ","Dirdene Gardens, Epsom KT17",51.337402,-0.25659,2021-09-02,"3","0",NA,"1","0","2","0",3,1,2,"terraced house "
399950,"2 bed flat for sale ","Lapford Close, London W9",51.527031,-0.202144,2021-09-02,"2","0",NA,"1","1","0","0",2,1,1,"flat "
599950,"3 bed semi-detached house for sale ","Addington Road, West Wickham BR4",51.369653,-0.00429,2021-09-02,"3","0",NA,"1","0","2","0",3,1,2,"semi-detached house "
675000,"3 bed terraced house for sale ","Olive Road, London W5",51.499591,-0.303774,2021-09-02,"3","2",NA,"0","1","0","0",3,2,1,"terraced house "
384950,"1 bed flat for sale ","Rommany Road, London SE27",51.427765,-0.089063,2021-09-02,"0","0",NA,"1","1","0","1",1,1,1,"flat "
1395000,"3 bed flat for sale ","Hilary Mews, London SE1",51.50179,-0.093073,2021-09-02,"3","2",NA,"0","1","0","0",3,2,1,"flat "
564950,"3 bed semi-detached house for sale ","Coldharbour Lane, Hayes, Greater London UB3",51.513129,-0.411886,2021-09-02,"3","2",NA,"0","0","2","0",3,2,2,"semi-detached house "
695000,"2 bed flat for sale ","Christchurch Avenue, Brondesbury NW6",51.544477,-0.209056,2021-09-02,"2","2",NA,"0","1","0","0",2,2,1,"flat "
8e+05,"4 bed semi-detached house for sale ","Broomfield Road, Bexleyheath, Kent DA6",51.451372,0.15,2021-09-02,"4","0",NA,"1","0","2","0",4,1,2,"semi-detached house "
425000,"1 bed flat for sale ","7 Lyell Street, Meade House, London City Island E14",51.512486,0.005958,2021-09-02,"0","0",NA,"1","0","0","1",1,1,0,"flat "
725000,"3 bed end terrace house for sale ","Cottingham Road, London SE20",51.41407,-0.049298,2021-09-02,"3","0",NA,"1","1","0","0",3,1,1,"end terrace house "
